# PCBICEVT.EXE function catalog (474 functions)
# Copyright 1996, Clark Development Company
# BCC 3.1 large model, VMData subsystem
# idx   offset   size  epilogue
 393  +0E830     34  8be55dcb
 394  +0E852     25  5dca0400
 395  +0E86B     31  8be55dcb
 396  +0E88A     31  5dca0200
 397  +0E8A9    147  8be55dcb
 398  +0E93C     28  5dca0600
 399  +0E958     31  5dca0600
 400  +0E977    151  c4025dcb
 401  +0EA0E     73  5dca0800
 402  +0EA57    204  5dca0800
 403  +0EB23    199  5dca0800
 404  +0EBEA    157  5dca0400
 405  +0EC87     40  5dca0400
 406  +0ECAF     61  5dca0400
 407  +0ECEC    138  ca100045
 408  +0ED76    286  4dc20a00
 409  +0EE94     97  ca040045
 410  +0EEF5     64  c2040045
 411  +0EF35   1035  c2080045
 412  +0F340    191  c2060045
 413  +0F3FF    137  c2060045
 414  +0F488    606  e55d4dc3
 415  +0F6E6     22  5dca0400
 416  +0F6FC     19  8be55dcb
 417  +0F70F     13  5dca0200
 418  +0F71C     44  5dca0c00
 419  +0F748     47  5dca0e00
 420  +0F777     47  5dca0e00
 421  +0F7A6     50  5dca1000
 422  +0F7D8     50  5dca1000
 423  +0F80A     53  5dca1200
 424  +0F83F     59  5dca1600
 425  +0F87A     57  ca140045
 426  +0F8B3     68  4dc20400
 427  +0F8F7     57  5dca0200
 428  +0F930     85  5dca0600
 429  +0F985     86  5dca0600
 430  +0F9DB     48  8be55dcb
 431  +0FA0B     48  8be55dcb
 432  +0FA3B     25  8bc25dcb
 433  +0FA54     25  8bc25dcb
 434  +0FA6D     62  5dca0200
 435  +0FAAB    190  5dca0200
 436  +0FB69    310  5dca0200
 437  +0FC9F     25  43085dcb
 438  +0FCB8    498  8f048f04
 439  +0FEAA   1236  06310645
 440  +1037E    128  4dc20400
 441  +103FE     65  5dca0e00
 442  +1043F     67  5dca0e00
 443  +10482    638  5dca1000
 444  +10700    308  e55dcb45
 445  +10834    367  c2040045
 446  +109A3     54  5d4dc345
 447  +109D9     54  c2040045
 448  +10A0F    184  4dc20400
 449  +10AC7   2058  ca1e0045
 450  +112D1     24  c2040045
 451  +112E9    349  c2160045
 452  +11446    275  4dc21400
 453  +11559    815  5dca0a00
 454  +11888     33  02005dcb
 455  +118A9    136  ca080045
 456  +11931     19  5d4dc345
 457  +11944     24  005d4dc3
 458  +1195C     29  8be55dcb
 459  +11979     20  5dca0400
 460  +1198D     29  8be55dcb
 461  +119AA     20  5dca0400
 462  +119BE     97  8be55dcb
 463  +11A1F     19  c4045dcb
 464  +11A32    121  5dca0400
 465  +11AAB     23  00005dcb
 466  +11AC2     71  005e5dcb
 467  +11B09    773  5dca0a00
 468  +11E0E    208  5dca0200
 469  +11EDE    109  00005dcb
 470  +11F4B     51  8be55dcb
 471  +11F7E      8  c8005dcb
 472  +11F86     50  33c09dcb
 473  +11FB8   4000  00000000
